派生パターン	元の読み	元の表記	派生後の読み	派生後の表記	向き
-agu:-ugaseru	ゆらぐ	揺らぐ	ゆるがせる	揺るがせる	t
-agu:-ugasu	ゆらぐ	揺らぐ	ゆるがす	揺るがす	t
-areru:-eru	わかれる	分かれる	わける	分ける	t
-aru:-eru	いかる	活かる	いける	活ける	t
-aru:-eru	もうかる	もうかる	もうける	もうける	t
-aru:-eru	もうかる	儲かる	もうける	儲ける	t
-aru:-eru	うかる	受かる	うける	受ける	t
-aru:-eru	かかる	かかる	かける	かける	t
-aru:-eru	かかる	懸かる	かける	懸ける	t
-aru:-eru	かかる	掛かる	かける	掛ける	t
-aru:-eru	かかる	架かる	かける	架ける	t
-aru:-eru	とおざかる	遠ざかる	とおざける	遠ざける	t
-aru:-eru	たすかる	助かる	たすける	助ける	t
-aru:-eru	あずかる	預かる	あずける	預ける	t
-aru:-eru	さずかる	さずかる	さずける	さずける	t
-aru:-eru	さずかる	授かる	さずける	授ける	t
-aru:-eru	はだかる	はだかる	はだける	はだける	t
-aru:-eru	のっかる	のっかる	のっける	のっける	t
-aru:-eru	のっかる	乗っかる	のっける	乗っける	t
-aru:-eru	のっかる	載っかる	のっける	載っける	t
-aru:-eru	みっかる	みっかる	みっける	みっける	t
-aru:-eru	みっかる	見っかる	みっける	見っける	t
-aru:-eru	いいつかる	言いつかる	いいつける	言いつける	t
-aru:-eru	いいつかる	言い付かる	いいつける	言い付ける	t
-aru:-eru	もうしつかる	申しつかる	もうしつける	申しつける	t
-aru:-eru	おおせつかる	仰せつかる	おおせつける	仰せつける	t
-aru:-eru	ぶっつかる	ぶっつかる	ぶっつける	ぶっつける	t
-aru:-eru	ぶつかる	ぶつかる	ぶつける	ぶつける	t
-aru:-eru	みつかる	見つかる	みつける	見つける	t
-aru:-eru	みつかる	見付かる	みつける	見付ける	t
-aru:-eru	つかる	浸かる	つける	浸ける	t
-aru:-eru	つかる	漬かる	つける	漬ける	t
-aru:-eru	ことづかる	ことづかる	ことづける	ことづける	t
-aru:-eru	ことづかる	言付かる	ことづける	言付ける	t
-aru:-eru	まかる	負かる	まける	負ける	t
-aru:-eru	あがる	あがる	あげる	あげる	t
-aru:-eru	あがる	上がる	あげる	上げる	t
-aru:-eru	あがる	挙がる	あげる	挙げる	t
-aru:-eru	あがる	揚がる	あげる	揚げる	t
-aru:-eru	さがる	下がる	さげる	下げる	t
-aru:-eru	つながる	つながる	つなげる	つなげる	t
-aru:-eru	つながる	繋がる	つなげる	繋げる	t
-aru:-eru	まがる	曲がる	まげる	曲げる	t
-aru:-eru	ひろがる	広がる	ひろげる	広げる	t
-aru:-eru	ひろがる	拡がる	ひろげる	拡げる	t
-aru:-eru	かぶさる	かぶさる	かぶせる	かぶせる	t
-aru:-eru	かぶさる	被さる	かぶせる	被せる	t
-aru:-eru	あわさる	合わさる	あわせる	合わせる	t
-aru:-eru	まざる	交ざる	まぜる	交ぜる	t
-aru:-eru	まざる	混ざる	まぜる	混ぜる	t
-aru:-eru	あたる	あたる	あてる	あてる	t
-aru:-eru	あたる	当たる	あてる	当てる	t
-aru:-eru	へだたる	隔たる	へだてる	隔てる	t
-aru:-eru	うだる	うだる	うでる	うでる	t
-aru:-eru	うだる	茹だる	うでる	茹でる	t
-aru:-eru	ゆだる	ゆだる	ゆでる	ゆでる	t
-aru:-eru	ゆだる	茹だる	ゆでる	茹でる	t
-aru:-eru	かさなる	重なる	かさねる	重ねる	t
-aru:-eru	つらなる	列なる	つらねる	列ねる	t
-aru:-eru	つらなる	連なる	つらねる	連ねる	t
-aru:-eru	うまる	埋まる	うめる	埋める	t
-aru:-eru	あかまる	赤まる	あかめる	赤める	t
-aru:-eru	たかまる	高まる	たかめる	高める	t
-aru:-eru	ふかまる	深まる	ふかめる	深める	t
-aru:-eru	かがまる	かがまる	かがめる	かがめる	t
-aru:-eru	かがまる	屈まる	かがめる	屈める	t
-aru:-eru	きまる	極まる	きめる	極める	t
-aru:-eru	きまる	決まる	きめる	決める	t
-aru:-eru	ぬくまる	ぬくまる	ぬくめる	ぬくめる	t
-aru:-eru	ぬくまる	温まる	ぬくめる	温める	t
-aru:-eru	ひくまる	低まる	ひくめる	低める	t
-aru:-eru	ふくまる	含まる	ふくめる	含める	t
-aru:-eru	おさまる	おさまる	おさめる	おさめる	t
-aru:-eru	おさまる	修まる	おさめる	修める	t
-aru:-eru	おさまる	収まる	おさめる	収める	t
-aru:-eru	おさまる	治まる	おさめる	治める	t
-aru:-eru	おさまる	納まる	おさめる	納める	t
-aru:-eru	ひきしまる	引きしまる	ひきしめる	引きしめる	t
